Nomor,Pernyataan,Kunci_Jawaban
78,"Aku menyukai sajak (puisi).",YA
79,"Perasaanku tidak mudah tersinggung.",YA
80,"Aku kadang-kadang mengganggu binatang.",TIDAK
81,"Aku senang juga pekerjaan polisi kehutanan.",YA
82,"Aku mudah dikalahkan dalam perdebatan.",TIDAK
83,"Setiap orang yang mampu dan mau bekerja keras mempunyai kesempatan untuk berhasil.",YA
84,"Akhir-akhir ini aku sukar melawan perasaan hilangnya harapan untuk menjadi orang yang berhasil.",TIDAK
85,"Kadang-kadang aku tertarik pada barang orang lain, seperti sepatu, pakaian, dan sebagainya sehingga ingin memegangnya atau mencuri walaupun aku tidak mempergunakannya.",TIDAK
86,"Aku memang kurang percaya pada diriku sendiri.",TIDAK
87,"Aku suka juga merangkai bunga.",TIDAK
88,"Pada umumnya aku merasa bahwa hidup ini ada manfaatnya.",YA
89,"Aku berpendapat untuk meyakinkan orang diperlukan banyak usaha dan pembicaraan.",YA
90,"Apa yang dapat ku kerjakan hari ini, kadang-kadang aku tunda sampai besok.",TIDAK
91,"Aku tahan dijadikan bahan lelucon.",TIDAK
92,"Aku ingin menjadi juru rawat.",YA
93,"Menurut pendapatku sebagian besar orang akan berbohong untuk memperoleh kemajuan.",YA
94,"Aku banyak melakukan hal-hal yang kemudian kusesalkan (rasanya aku sering menyesal dari pada orang lain).",TIDAK
95,"Aku rajin pergi ke tempat ibadah.",YA
96,"Aku sedikit sekali bertengkar dengan keluargaku.",YA
97,"Adakalanya aku terdorong dengan kuat untuk mengerjakan sesuatu yang merugikan dan menghebohkan.",TIDAK
98,"Aku percaya akan datang hari pengadilan Tuhan.",YA
99,"Aku senang pergi ke pesta dan keramaian.",YA
100,"Aku pernah dihadapkan pada persoalan yang begitu banyak kemungkinannya, sehingga aku tidak dapat mengambil keputusan.",TIDAK
101,"Aku berpendapat bahwa perempuan seyogyanya mendapat kebebasan seks setaraf dengan laki-laki.",TIDAK
102,"Perjuanganku yang berat adalah melawan diri sendiri.",TIDAK
103,"Aku tidak terganggu oleh kejutan-kejutan otot (kedutan).",YA
104,"Rasanya aku tidak peduli akan apa yang terjadi pada diriku.",TIDAK
105,"Bila aku sedang tidak enak badan kadang-kadang aku mudah tersinggung.",TIDAK
106,"Sering aku seakan-akan telah melakukan sesuatu yang salah atau jahat.",TIDAK
107,"Pada umumnya aku cukup senang.",YA
108,"Kepalaku sering sekali terasa berat atau hidungku mampet.",TIDAK
109,"Ada orang yang sok tuan besar, sehingga walaupun aku tahu ia besar rasanya aku ingin melakukan yang sebaliknya dari permintaannya.",TIDAK
110,"Seseorang telah memojokkan aku sehingga aku tidak bisa berkutik.",TIDAK
111,"Aku tidak pernah melakukan sesuatu yang berbahaya hanya untuk kesenangan saja.",YA
112,"Aku sering merasa perlu mempertahankan dengan gigih apa yang kuanggap benar.",YA
113,"Aku yakin manfaat dari pengetarapan hukum.",YA
114,"Aku sering merasa seakan-akan ada ikatan yang menjepit kepalaku.",TIDAK
115,"Aku percaya adanya kehidupan setelah mati.",YA
116,"Aku lebih menyukai suatu pertandingan yang disertai taruhan.",TIDAK
117,"Kebanyakan orang berbuat jujur hanya karena takut ketahuan tidak jujur.",TIDAK
118,"Di sekolah kadang-kadang aku dipanggil kepala sekolah karena terlalu bandel atau nakal.",TIDAK
119,"Bicararaku cukup terkendali (lancar, jelas dan tidak terlalu cepat).",YA
120,"Sopan santunku dirumah tidak sebaik seperti jika bersama orang lain.",TIDAK
121,"Aku yakin bahwa ada komplotan yang memusuhiku.",TIDAK
122,"Rasanya aku mampu dan pandai seperti orang lain.",YA
123,"Aku yakin aku sedang diikuti (dibayang-bayangi).",TIDAK
124,"Banyak orang mempergunakan cara-cara yang agak kurang jujur untuk memperoleh keuntungan daripada kehilangan keuntungan tersebut.",TIDAK
125,"Aku sering menderita sakit perut.",TIDAK
126,"Aku menyukai seni drama.",YA
127,"Aku tahu siapa yang menjadi biang keladi dari kesulitan-kesulitan ku.",TIDAK
128,"Aku tidak takut atau terganggu melihat darah.",YA
129,"Kadang-kadang aku tidak mengerti kenapa aku marah dan mengomel.",TIDAK
130,"Aku belum pernah batuk darah atau muntah darah.",YA
131,"Aku tidak kuatir terserang penyakit.",YA
132,"Aku suka mengumpulkan dan memelihara tanaman hias dan bunga.",TIDAK
133,"Aku belum pernah tertarik dan melakukan perbuatan seks dan tidak wajar.",YA
134,"Ada masanya pikiranku lebih cepat dari ucapanku.",YA
135,"Bila aku yakin tidak seorangpun yang melihatnya, mungkin sekali aku akan menyelundup nonton tanpa karcis.",TIDAK
136,"Apabila ada orang yang berbuat sangat baik terhadapku, aku biasanya bertanya-tanya tentang latar belakang alasannya.",YA
137,"Aku berpendapat bahwa kehidupan keluargaku sama menyenangkannya dengan kebanyakan keluarga yang kukenal.",TIDAK
138,"Kritik dan teguran sangat menyakitkan hatiku.",TIDAK
139,"Kadang-kadang aku merasa seakan-akan aku harus melukai diriku sendiri atau orang lain.",TIDAK
140,"Aku senang memasak.",TIDAK
141,"Kelakuanku banyak dipengaruhi oleh adat kebiasaan lingkunganku.",TIDAK
142,"Kadang-kadang aku benar-benar merasa tidak berguna.",TIDAK
143,"Semasa mudaku aku menjadi anggota kelompok yang kompak dalam suka dan duka.",YA
144,"Aku mau juga menjadi tentara.",YA
145,"Adakalanya aku ingin berkelahi dengan seseorang.",TIDAK
146,"Aku berjiwa pengembara dan tidak merasa bahagia bila tidak berkelana.",TIDAK
147,"Aku sering kehilangan kesempatan baik karena ragu-ragu membuat keputusan.",TIDAK
148,"Bila aku sedang sibuk dengan sesuatu yang penting dan orang datang mengganggu minta nasehat, aku menjadi tidak sabar.",TIDAK
149,"Aku biasa menulis pengalamanku dalam buku harian.",TIDAK
150,"Aku lebih senang menang daripada kalah dalam suatu permainan.",YA
151,"Ada orang yang telah mencoba meracuni aku.",TIDAK
152,"Biasanya aku pergi tidur malam tanpa pikiran yang mengganggu.",YA
153,"Beberapa tahun akhir ini aku pada umumnya sehat-sehat saja.",YA
154,"Aku tidak pernah sakit ayan atau kejang-kejang.",YA
155,"Berat badanku tetap saja tidak naik maupun turun.",TIDAK
156,"Ada kalanya aku melakukan sesuatu yang kemudian tidak kuketahui bahwa akulah yang melakukannya.",TIDAK
157,"Aku merasa bahwa aku sering dihukum tanpa sebab.",TIDAK
158,"Aku mudah menangis.",TIDAK
159,"Bila membaca daya tangkapku tidak lagi sebaik dulu.",TIDAK
160,"Aku merasa tidak pernah sesenang sekarang ini.",TIDAK
161,"Aku kadang-kadang sakit kepala yang dengan diraba saja terasa nyeri.",TIDAK
162,"Aku mendongkol bila orang dengan cerdik menipuku, sehingga aku harus mengaku kalah.",TIDAK
163,"Aku tidak cepat lelah.",YA
164,"Aku suka mempelajari dan membaca tentang apa yang sedang aku kerjakan.",YA
165,"Aku ingin mengenal orang-orang penting, karena dengan demikian aku merasa menjadi orang penting juga.",TIDAK
166,"Bila melihat kebawah dari tempat tinggi, aku menjadi takut.",TIDAK
167,"Aku tidak gelisah bila salah seorang anggota keluargaku terlibat dalam perkara hukum.",TIDAK
168,"Ada sesuatu yang tidak beres dengan pikiranku.",TIDAK
169,"Aku tidak takut mengurus uang.",YA
170,"Aku tidak terganggu oleh apa yang orang pikirkan tentang diriku.",YA
171,"Aku merasa canggung berbuat sesuatu yang menonjolkan diri dalam pesta walaupun orang lain melakukannya.",TIDAK
172,"Aku sering harus berusaha keras untuk menyembunyikan rasa malu.",TIDAK
173,"Aku dahulu senang bersekolah.",YA
174,"Aku belum pernah pingsan-pingsan.",YA
175,"Aku jarang atau tidak pernah menderita pusing (tujuh keliling).",YA
176,"Aku tidak terlampau takut dengan ular.",YA
177,"Ibuku orang baik.",YA
178,"Daya ingatku baik-baik saja.",YA
179,"Masalah seks membuat aku risau.",TIDAK
180,"Aku sulit memulai percakapan bila bertemu dengan orang yang baru kukenal.",TIDAK
181,"Bila aku menjadi bosan, aku suka bikin ribut.",TIDAK
182,"Aku takut menjadi gila.",YA
183,"Aku tidak setuju memberi uang kepada pengemis.",TIDAK
184,"Aku sering mendengar suara-suara yang tidak kuketahui asalnya.",TIDAK
185,"Pendengaranku rasanya sebaik orang lain.",YA
186,"Tanganku sering gemetar bila aku mencoba melakukan sesuatu.",TIDAK
187,"Aku belum pernah merasa aneh dan canggung dengan tanganku.",YA
188,"Aku dapat membaca lama tanpa melelahkan mataku.",YA
189,"Aku sering merasa seluruh badanku lemah.",TIDAK
190,"Aku jarang sekali sakit kepala.",YA
191,"Kadang-kadang bila malu dan tersinggung aku mandi keringat dan hal ini sangat menggangguku.",TIDAK
192,"Aku mudah juga menjaga keseimbangan waktu berjalan.",YA
193,"Aku tidak menderita selesma atau sesak napas.",YA
194,"Aku pernah mengalami tidak mampu menguasai pergerakan dan pembicaraanku walaupun aku sadar.",TIDAK
195,"Aku tidak selalu menyukai setiap orang yang kukenal.",YA
196,"Aku suka mengunjungi tempat yang belum pernah kukunjungi.",YA
197,"Seseorang telah mencoba merampas barang-barangku.",TIDAK
198,"Aku jarang sekali melamun.",YA
199,"Anak-anak seharusnya diberi pelajaran tentang seks.",TIDAK
200,"Ada orang yang bermaksud mencoba mencuri buah pikiranku.",TIDAK
201,"Aku ingin tidak pemalu seperti ini.",YA
202,"Aku percaya bahwa aku seorang yang terkutuk.",TIDAK
203,"Andaikan aku seorang wartawan, aku senang sekali memberitakan seni drama.",YA
204,"Aku ingin juga menjadi wartawan.",TIDAK
205,"Adakalanya tidak mungkin bagiku untuk menahan diri dari keinginan mencuri atau mencopet.",TIDAK
206,"Aku sangat taat pada Agama (lebih dari pada orang lain).",YA
207,"Aku suka bermacam-macam permainan dan hiburan.",YA
208,"Aku suka bercumbu.",YA
209,"Aku percaya dosaku tidak dapat diampuni.",TIDAK
210,"Semua rasanya sama saja.",TIDAK
211,"Pada siang hari aku dapat tidur tetapi pada malam hari tidak.",TIDAK
212,"Keluargaku lebih memperlakukan aku sebagai kanak-kanak daripada sebagai orang dewasa.",TIDAK
213,"Walaupun berjalan aku sangat hati-hati agar tidak salah injak.",YA
214,"Aku tidak pernah cemas karena kelainan kulit.",YA
215,"Aku minum minuman keras berlebihan.",TIDAK
216,"Dibandingkan keluarga lain, kasih sayang dan keakraban dalam keluargaku sangat kurang.",TIDAK
217,"Ternyata aku sering merisaukan sesuatu.",YA
218,"Aku merasa tidak terganggu melihat binatang yang menderita.",TIDAK
219,"Aku senang pekerjaan seorang pemborong bangunan.",TIDAK
220,"Aku sayang pada ibuku.",YA
221,"Aku suka pada ilmu pengetahuan.",YA
222,"Mudah bagiku untuk minta pertolongan dari kawan-kawan walaupun aku tidak dapat membalasnya.",YA
223,"Aku gemar sekali berburu.",TIDAK
224,"Orang tuaku sering tidak setuju terhadap teman-teman yang kupilih.",TIDAK
225,"Kadang-kadang aku mempergunjingkan orang lain (gossip).",TIDAK
226,"Beberapa anggota keluargaku mempunyai kebiasaan yang sangat mengganggu dan menjengkelkan aku.",TIDAK
227,"Menurut orang aku berjalan dalam tidur.",TIDAK
228,"Adakalanya aku merasa mudah sekali membuat keputusan.",TIDAK
229,"Aku ingin juga menjadi anggota dari beberapa perkumpulan.",YA
230,"Aku hampir tidak pernah memperhatikan jantungku berdebar dan aku jarang sesak napas.",YA
231,"Aku suka mebicarakan seks.",TIDAK
232,"Aku terpanggil untuk mengisi hidupku dengan tugas yang mulia yang selama ini telah kulaksanakan dengan seksama.",YA
233,"Kadang-kadang aku menghalangi orang yang mencoba berbuat sesuatu, bukan karena besar kecilnya persoalan akan tetapi karena prinsip.",YA
234,"Aku mudah naik darah (marah) dan cepat reda kembali.",TIDAK
235,"Aku cukup bebas dan tidak terikat pada peraturan-peraturan keluarga.",TIDAK
236,"Aku sering sekali murung dan merenung.",TIDAK
237,"Semua sanak keluargaku bersimpati kepadaku.",YA
238,"Pada saat-saat tertentu aku merasa gelisah sekali, sehingga tidak dapat duduk tenang.",TIDAK
239,"Aku telah dikecewakan dalam cinta.",TIDAK
240,"Aku tidak memperdulikan penampilanku (cara berpakaian dan berhias).",TIDAK
241,"Aku sering bermimpi tentang hal-hal yang paling baik kurahasiakan sendiri.",TIDAK
242,"Menurut hematku aku tidak lebih gugup daripada orang lain.",YA
243,"Aku jarang atau tidak pernah pegal-pegal.",YA
244,"Caraku melakukan sesuatu biasanya disalah tafsirkan oleh orang lain.",TIDAK
245,"Orang tua dan keluargaku sering menyalahkan aku.",TIDAK
246,"Leherku sering bercak merah.",TIDAK
247,"Aku ada alasan untuk merasa iri hati terhadap satu atau beberapa anggota keluarga.",TIDAK
248,"Kadang-kadang tanpa alasan atau meskipun segala sesuatu tidak memuaskan, toh merasa sangat gembira.",YA
249,"Aku percaya adanya setan dan neraka setelah kehidupan ini.",YA
250,"Aku dapat membenarkan orang yang mencoba meraih apa saja sebanyak-banyaknya didunia ini.",TIDAK
251,"Pernah aku mengalami pikiranku mendadak menjadi kosong, serta kegiatanku terhenti dan aku tidak tahu lagi apa yang terjadi disekitarku.",TIDAK
252,"Tidak seorangpun yang banyak memperdulikan apa yang akan terjadi padaku.",TIDAK
253,"Aku dapat bersikap ramah terhadap orang yang melakukan hal-hal yang menurut hematku salah.",TIDAK
254,"Aku suka bergaul dengan orang-orang yang suka bercanda.",YA
255,"Aku kadang-kadang memilih orang-orang yang tidak kukenal dalam suatu pemilihan.",TIDAK
256,"Satu-satunya bagian yang menarik dari surat kabar adalah ruang iseng.",TIDAK
257,"Biasanya aku menghendaki usahaku akan berhasil.",YA
258,"Aku percaya adanya Tuhan.",YA
259,"Aku merasa berat untuk memulai suatu pekerjaan.",TIDAK
260,"Dulu aku sukar menangkap pelajaran.",TIDAK
261,"Andaikan aku pelukis aku akan senang melukis bunga.",TIDAK
262,"Aku tidak peduli akan diriku yang kurang tampan.",YA
263,"Aku mudah sekali berkeringat walaupun udara dingin.",TIDAK
264,"Aku sangat yakin akan diriku sendiri.",YA
265,"Lebih aman untuk tidak mempercayai seorangpun.",TIDAK
266,"Sekali seminggu atau lebih, sering menjadi aku sangat tegang dan emosional.",TIDAK
267,"Apabila dalam satu kelompok, aku mengalami kesukaran bahan pembicaraan.",TIDAK
268,"Sesuatu yang menggairahkan hampir selalu akan menghilangkan kesedihan.",TIDAK
269,"Aku dengan mudah dapat membuat orang takut padaku, dan kadang-kadang ini kulakukan untuk iseng.",TIDAK
270,"Jika aku pergi, aku tidak merisaukan apakah pintu jendela sudah terkunci atau belum.",TIDAK
271,"Aku tidak pernah mempersalahkan orang yang akan mengambil keuntungan dari seseorang yang lemah.",TIDAK
272,"Kadang-kadang aku penuh semangat.",TIDAK
273,"Kulitku terasa kebal pada beberapa bagian.",TIDAK
274,"Penglihatanku sekarang sama baiknya dengan penglihatanku pada tahun yang lalu.",YA
275,"Ada seorang yang menguasai pikiranku.",TIDAK
276,"Aku menyenangi kanak-kanak.",YA
277,"Ada kalanya aku begitu kagum akan kelihaian seorang bajingan, sehingga aku mengharap dia dapat lolos.",TIDAK
278,"Aku sering merasa orang-orang yang tidak kukenal memperhatikan aku secara teliti.",TIDAK
279,"Setiap hari aku minum air dalam jumlah yang luar biasa banyaknya.",TIDAK
280,"Kebanyakan orang mencari kawan, karena diharapkan berguna bagi dirinya.",YA
281,"Aku jarang memperhatikan suatu mendengung dalam telingaku.",YA
282,"Sekali waktu aku merasa benci terhadap anggota keluargaku yang biasa kusayangi.",TIDAK
283,"Seandainya aku wartawan aku ingin sekali menulis berita olah raga.",YA
284,"Aku yakin bahwa aku dipergunjingkan orang (digosipkan orang).",TIDAK
285,"Sekali-kali aku tertawa juga mendengar lelucon porno.",YA
286,"Aku tidak pernah merasa bahagia daripada bila seorang diri.",TIDAK
287,"Dibandingkan dengan lawan-lawanku, aku sedikit sekali mempunyai rasa takut.",YA
288,"Aku terganggu oleh serangan rasa mual dan muntah-muntah.",TIDAK
289,"Aku selalu merasa muak terhadap hukum, bila seorang penjahat dibebaskan oleh karena kepandaian dari seorang pembela.",YA
290,"Aku bekerja dalam ketegangan yang sangat besar.",TIDAK
291,"Aku pernah beberapa kali merasa bahwa seseorang memaksaku melakukan sesuatu dengan sihir.",TIDAK
292,"Aku cenderung untuk tidak menyapa orang lain, sebelum mereka menyapaku terlebih dahulu.",TIDAK
293,"Ada seseorang yang mencoba mempengaruhi pikiranku.",TIDAK
294,"Aku belum pernah mengalami kesulitan dengan hukum.",YA
295,"Aku suka dongeng yang aneh dan bermanfaat.",YA
296,"Pada waktu-waktu tertentu aku merasa gembira sekali tanpa alasan khusus.",TIDAK
297,"Aku ingin tidak terganggu pikiran tentang seks.",YA
298,"Bila beberapa orang bersama-sama dalam keadaan terjepit, sikap yang baik bagi mereka adalah bersepakat dan bertahan pada suatu alasan tertentu.",YA
299,"Kukira perasaanku lebih mendalam daripada orang lain.",YA
300,"Selama hidupku ini aku tidak pernah senang bermain-main dengan boneka.",YA
301,"Pada umumnya hidupku ini kurasakan berat.",TIDAK
302,"Aku belum pernah mengalami kesulitan karena kelakuan seks ku.",YA
303,"Aku sangat peka terhadap beberapa persoalan, sehingga aku tidak membicarakannya.",TIDAK
304,"Aku merasa sukar untuk bicara didepan kelas waktu sekolah.",TIDAK
305,"Walaupun bersama-sama dengan orang banyak, aku sering merasa kesepian.",TIDAK
306,"Aku mendapat pengertian (simpati) yang semestinya.",YA
307,"Aku menolak ikut serta dalam beberapa permainan karena aku kurang pandai.",TIDAK
308,"Aku pernah ingin sekali lari dari rumah.",TIDAK
309,"Aku merasa dapat berkawan semudah orang lain.",YA
310,"Kehidupan seksku cukup memuaskan.",YA
311,"Dalam suatu masa tertentu waktu masih muda aku pernah melakukan pencurian kecil-kecilan.",YA
312,"Aku tidak suka ada orang disekitarku.",TIDAK
313,"Orang yang memberikan peluang mencuri dengan meninggalkan barang begitu saja, sama salahnya dengan orang yang mencurinya.",YA
314,"Sekali-kali aku berpikir tentang hal yang buruk untuk diutarakan.",TIDAK
315,"Aku merasa bahwa hidup ini tidak adil.",TIDAK
316,"Hampir setiap orang akan berbohong untuk menghindarkan kesulitan.",TIDAK
317,"Aku lebih perasa daripada kebanyakan orang.",TIDAK
318,"Kehidupanku sehari-hari selalu terisi dengan hal-hal yang menyenangkan dan menarik.",YA
319,"Kebanyakan orang dalam hati kecilnya tidak begitu suka mengulurkan tangan untuk menolong orang lain.",TIDAK
320,"Kebanyakan mimpiku adalah tentang seks.",TIDAK
321,"Aku mudah sekali menjadi canggung (kikuk).",TIDAK
322,"Aku merisaukan soal uang dan pekerjaan.",TIDAK
323,"Aku pernah mengalami hal yang aneh dan tidak masuk akal.",TIDAK
324,"Aku belum pernah jatuh cinta pada siapapun juga.",TIDAK
325,"Beberapa hal yang pernah dilakukan oleh anggota keluargaku menakutkan aku.",TIDAK
326,"Pada waktu-waktu tertentu aku tertawa dan menangis tanpa dapat kukuasai.",TIDAK
327,"Orang tuaku sering membuat aku menuruti kehendaknya, walaupun pada hematnya hal itu tidak masuk akal.",TIDAK
328,"Aku merasa sukar memusatkan perhatian pada suatu pekerjaan.",TIDAK
329,"Aku hampir tidak pernah bermimpi.",TIDAK
330,"Aku tidak pernah lumpuh atau mengalami kelemahan otot yang berat.",YA
331,"Seandainya orang-orang tidak menghalangi, aku dapat lebih berhasil.",TIDAK
332,"Kadang-kadang suaraku menghilang atau berubah, walapun aku tidak sakit leher (flu).",TIDAK
333,"Aku merasa tak seorangpun yang mengerti akan diriku.",TIDAK
334,"Adakalanya tercium olehku bau yang aneh.",TIDAK
335,"Aku tidak bisa memusatkan perhatian pada satu hal saja.",TIDAK
336,"Aku mudah menjadi kurang sabar terhadap orang-orang.",TIDAK
337,"Aku hampir selalu merasa cemas tentang sesuatu hal atau seseorang.",TIDAK
338,"Sesungguhnya lebih banyak persoalan yang kurisaukan dari pada yang sesungguhnya.",TIDAK
339,"Sering aku ingin mengalami mati.",TIDAK
340,"Kadang-kadang aku begitu tegang sehingga sukar tidur.",TIDAK
341,"Kadang-kadang pendengaranku sedemikian tajamnya, sehingga aku merasa terganggu.",TIDAK
342,"Aku cepat lupa tentang apa saja yang dikatakan orang padaku.",TIDAK
343,"Biasanya aku harus berpikir-pikir dulu sebelum melakukan sesuatu, walaupun mengenai hal yang sepele (kecil dan tidak berarti).",YA
344,"Sering aku menghindar bertemu seseorang dengan mengubah arah langkahku.",YA
345,"Aku sering merasa seakan-akan semuanya semu (tidak sesungguhnya seperti impian belaka).",TIDAK
346,"Aku mempunyai kebiasaan menghitung benda-benda yang tidak perlu seperti tiang listrik dan lain-lain.",TIDAK
347,"Aku tidak mempunyai musuh yang benar-benar bermaksud mencelakakan aku.",YA
348,"Aku cenderung untuk waspada terhadap orang yang berlebihan ramahnya.",YA
349,"Aku merasa pikiranku aneh dan asing.",TIDAK
350,"Bila aku seorang diri, aku mendengar suara yang aneh.",TIDAK
351,"Aku menjadi cemas dan gelisah bila aku harus berpergian.",TIDAK
352,"Aku takut akan benda dan orang yang kuketahui tak akan dapat membahayakan diriku.",TIDAK
353,"Aku tidak takut masuk sendirian kedalam suatu ruangan yang didalamnya berkumpul orang-orang yang sedang berbicara.",YA
354,"Aku takut menggunakan pisau benda tajam atau runcing.",TIDAK
355,"Kadang-kadang aku senang menyakiti orang yang kusayangi.",TIDAK
356,"Aku merasa lebih sukar memusatkan perhatian daripada orang lain.",TIDAK
357,"Aku telah beberapa kali meninggalkan suatu pekerjaan karena merasa kurang mampu.",TIDAK
358,"Kata-kata busuk dan sering-sering mengerikan timbul dalam pikiranku dan aku tidak dapat menghilangkannya.",TIDAK
359,"Kadang-kadang pikiran-pikiran yang tidak penting memenuhi benak dan mengganggu selama beberapa hari.",TIDAK
360,"Hampir setiap hari ada saja kejadian yang menakutkan aku.",TIDAK
361,"Aku cenderung menganggap segala sesuatu secara sungguh-sungguh (serius).",TIDAK
362,"Aku lebih perasa daripada kebanyakan orang lain.",TIDAK
363,"Adakalanya senang disakiti orang yang kucintai.",TIDAK
364,"Orang-orang mengatakan hal-hal yang menghina dan kasar tentang diriku.",TIDAK
365,"Aku merasa gelisah dalam rumah.",TIDAK
366,"Walaupun bersama-sama dengan orang banyak, aku sering merasa kesepian.",TIDAK
