Nomor,Pernyataan,Kunci_Jawaban_TNI_POLRI,Kategori_Alasan_Psikologis
111,Aku tidak pernah melakukan sesuatu yang berbahaya hanya untuk kesenangan saja.,YA,Pernyataan adaptif / positif kepribadian sehat
112,Aku sering merasa perlu mempertahankan dengan gigih apa yang kuanggap benar.,YA,Pernyataan adaptif / positif kepribadian sehat
113,Aku yakin manfaat dari pengetarapan hukum.,YA,Pernyataan adaptif / positif kepribadian sehat
114,Aku sering merasa seakan-akan ada ikatan yang menjepit kepalaku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
115,Aku percaya adanya kehidupan setelah mati.,YA,Pernyataan adaptif / positif kepribadian sehat
116,Aku lebih menyukai suatu pertandingan yang disertai taruhan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
117,Kebanyakan orang berbuat jujur hanya karena takut ketahuan tidak jujur.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
118,Di sekolah kadang-kadang aku dipanggil kepala sekolah karena terlalu bandel atau nakal.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
119,"Bicararaku cukup terkendali (lancar, jelas dan tidak terlalu cepat).",YA,Pernyataan adaptif / positif kepribadian sehat
120,Sopan santunku dirumah tidak sebaik seperti jika bersama orang lain.,YA,Kejujuran mengakui kelemahan manusiawi wajar (mencegah Faking Good Skala L)
121,Aku yakin bahwa ada komplotan yang memusuhiku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
122,Rasanya aku mampu dan pandai seperti orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
123,Aku yakin aku sedang diikuti (dibayang-bayangi).,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
124,Banyak orang mempergunakan cara-cara yang agak kurang jujur untuk memperoleh keuntungan daripada kehilangan keuntungan tersebut.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
125,Aku sering menderita sakit perut.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
126,Aku menyukai seni drama.,YA,Pernyataan adaptif / positif kepribadian sehat
127,Aku tahu siapa yang menjadi biang keladi dari kesulitan-kesulitan ku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
128,Aku tidak takut atau terganggu melihat darah.,YA,Pernyataan adaptif / positif kepribadian sehat
129,Kadang-kadang aku tidak mengerti kenapa aku marah dan mengomel.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
130,Aku belum pernah batuk darah atau muntah darah.,YA,Pernyataan adaptif / positif kepribadian sehat
131,Aku tidak kuatir terserang penyakit.,YA,Pernyataan adaptif / positif kepribadian sehat
132,Aku suka mengumpulkan dan memelihara tanaman hias dan bunga.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
133,Aku belum pernah tertarik dan melakukan perbuatan seks dan tidak wajar.,YA,Pernyataan adaptif / positif kepribadian sehat
134,Ada masanya pikiranku lebih cepat dari ucapanku.,TIDAK,"Kepatuhan asas komando, kesabaran, dan stabilitas emosi prajurit"
135,"Bila aku yakin tidak seorangpun yang melihatnya, mungkin sekali aku akan menyelundup nonton tanpa karcis.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
136,"Apabila ada orang yang berbuat sangat baik terhadapku, aku biasanya bertanya-tanya tentang latar belakang alasannya.",YA,Pernyataan adaptif / positif kepribadian sehat
137,Aku berpendapat bahwa kehidupan keluargaku sama menyenangkannya dengan kebanyakan keluarga yang kukenal.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
138,Kritik dan teguran sangat menyakitkan hatiku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
139,Kadang-kadang aku merasa seakan-akan aku harus melukai diriku sendiri atau orang lain.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
140,Aku senang memasak.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
141,Kelakuanku banyak dipengaruhi oleh adat kebiasaan lingkunganku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
142,Kadang-kadang aku benar-benar merasa tidak berguna.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
143,Semasa mudaku aku menjadi anggota kelompok yang kompak dalam suka dan duka.,YA,Pernyataan adaptif / positif kepribadian sehat
144,Aku mau juga menjadi tentara.,YA,Pernyataan adaptif / positif kepribadian sehat
145,Adakalanya aku ingin berkelahi dengan seseorang.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
146,Aku berjiwa pengembara dan tidak merasa bahagia bila tidak berkelana.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
147,Aku sering kehilangan kesempatan baik karena ragu-ragu membuat keputusan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
148,"Bila aku sedang sibuk dengan sesuatu yang penting dan orang datang mengganggu minta nasehat, aku menjadi tidak sabar.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
149,Aku biasa menulis pengalamanku dalam buku harian.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
150,Aku lebih senang menang daripada kalah dalam suatu permainan.,YA,Pernyataan adaptif / positif kepribadian sehat
151,Ada orang yang telah mencoba meracuni aku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
152,Biasanya aku pergi tidur malam tanpa pikiran yang mengganggu.,YA,Pernyataan adaptif / positif kepribadian sehat
153,Beberapa tahun akhir ini aku pada umumnya sehat-sehat saja.,YA,Pernyataan adaptif / positif kepribadian sehat
154,Aku tidak pernah sakit ayan atau kejang-kejang.,YA,Pernyataan adaptif / positif kepribadian sehat
155,Berat badanku tetap saja tidak naik maupun turun.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
156,Ada kalanya aku melakukan sesuatu yang kemudian tidak kuketahui bahwa akulah yang melakukannya.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
157,Aku merasa bahwa aku sering dihukum tanpa sebab.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
158,Aku mudah menangis.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
159,Bila membaca daya tangkapku tidak lagi sebaik dulu.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
160,Aku merasa tidak pernah sesenang sekarang ini.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
161,Aku kadang-kadang sakit kepala yang dengan diraba saja terasa nyeri.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
162,"Aku mendongkol bila orang dengan cerdik menipuku, sehingga aku harus mengaku kalah.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
163,Aku tidak cepat lelah.,YA,Pernyataan adaptif / positif kepribadian sehat
164,Aku suka mempelajari dan membaca tentang apa yang sedang aku kerjakan.,YA,Pernyataan adaptif / positif kepribadian sehat
165,"Aku ingin mengenal orang-orang penting, karena dengan demikian aku merasa menjadi orang penting juga.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
166,"Bila melihat kebawah dari tempat tinggi, aku menjadi takut.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
167,Aku tidak gelisah bila salah seorang anggota keluargaku terlibat dalam perkara hukum.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
168,Ada sesuatu yang tidak beres dengan pikiranku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
169,Aku tidak takut mengurus uang.,YA,Pernyataan adaptif / positif kepribadian sehat
170,Aku tidak terganggu oleh apa yang orang pikirkan tentang diriku.,TIDAK,Keterbukaan adaptif dan kepedulian kesehatan
171,Aku merasa canggung berbuat sesuatu yang menonjolkan diri dalam pesta walaupun orang lain melakukannya.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
172,Aku sering harus berusaha keras untuk menyembunyikan rasa malu.,YA,Sikap realistis dan rendah hati prajurit (menjaga Skala K seimbang)
173,Aku dahulu senang bersekolah.,YA,Pernyataan adaptif / positif kepribadian sehat
174,Aku belum pernah pingsan-pingsan.,YA,Pernyataan adaptif / positif kepribadian sehat
175,Aku jarang atau tidak pernah menderita pusing (tujuh keliling).,YA,Pernyataan adaptif / positif kepribadian sehat
176,Aku tidak terlampau takut dengan ular.,YA,Pernyataan adaptif / positif kepribadian sehat
177,Ibuku orang baik.,YA,Pernyataan adaptif / positif kepribadian sehat
178,Daya ingatku baik-baik saja.,YA,Pernyataan adaptif / positif kepribadian sehat
179,Masalah seks membuat aku risau.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
180,Aku sulit memulai percakapan bila bertemu dengan orang yang baru kukenal.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
181,"Bila aku menjadi bosan, aku suka bikin ribut.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
182,Aku takut menjadi gila.,YA,Pernyataan adaptif / positif kepribadian sehat
183,Aku tidak setuju memberi uang kepada pengemis.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
184,Aku sering mendengar suara-suara yang tidak kuketahui asalnya.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
185,Pendengaranku rasanya sebaik orang lain.,YA,Pernyataan adaptif / positif kepribadian sehat
186,Tanganku sering gemetar bila aku mencoba melakukan sesuatu.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
187,Aku belum pernah merasa aneh dan canggung dengan tanganku.,YA,Pernyataan adaptif / positif kepribadian sehat
188,Aku dapat membaca lama tanpa melelahkan mataku.,YA,Pernyataan adaptif / positif kepribadian sehat
189,Aku sering merasa seluruh badanku lemah.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
190,Aku jarang sekali sakit kepala.,YA,Pernyataan adaptif / positif kepribadian sehat
191,Kadang-kadang bila malu dan tersinggung aku mandi keringat dan hal ini sangat menggangguku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
192,Aku mudah juga menjaga keseimbangan waktu berjalan.,YA,Pernyataan adaptif / positif kepribadian sehat
193,Aku tidak menderita selesma atau sesak napas.,YA,Pernyataan adaptif / positif kepribadian sehat
194,Aku pernah mengalami tidak mampu menguasai pergerakan dan pembicaraanku walaupun aku sadar.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
195,Aku tidak selalu menyukai setiap orang yang kukenal.,YA,Pernyataan adaptif / positif kepribadian sehat
196,Aku suka mengunjungi tempat yang belum pernah kukunjungi.,YA,Pernyataan adaptif / positif kepribadian sehat
197,Seseorang telah mencoba merampas barang-barangku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
198,Aku jarang sekali melamun.,YA,Pernyataan adaptif / positif kepribadian sehat
199,Anak-anak seharusnya diberi pelajaran tentang seks.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
200,Ada orang yang bermaksud mencoba mencuri buah pikiranku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
201,Aku ingin tidak pemalu seperti ini.,YA,Pernyataan adaptif / positif kepribadian sehat
202,Aku percaya bahwa aku seorang yang terkutuk.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
203,"Andaikan aku seorang wartawan, aku senang sekali memberitakan seni drama.",YA,Pernyataan adaptif / positif kepribadian sehat
204,Aku ingin juga menjadi wartawan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
205,Adakalanya tidak mungkin bagiku untuk menahan diri dari keinginan mencuri atau mencopet.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
206,Aku sangat taat pada Agama (lebih dari pada orang lain).,YA,Pernyataan adaptif / positif kepribadian sehat
207,Aku suka bermacam-macam permainan dan hiburan.,YA,Pernyataan adaptif / positif kepribadian sehat
208,Aku suka bercumbu.,YA,Pernyataan adaptif / positif kepribadian sehat
209,Aku percaya dosaku tidak dapat diampuni.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
210,Semua rasanya sama saja.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
211,Pada siang hari aku dapat tidur tetapi pada malam hari tidak.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
212,Keluargaku lebih memperlakukan aku sebagai kanak-kanak daripada sebagai orang dewasa.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
213,Walaupun berjalan aku sangat hati-hati agar tidak salah injak.,YA,Pernyataan adaptif / positif kepribadian sehat
214,Aku tidak pernah cemas karena kelainan kulit.,YA,Pernyataan adaptif / positif kepribadian sehat
215,Aku minum minuman keras berlebihan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
216,"Dibandingkan keluarga lain, kasih sayang dan keakraban dalam keluargaku sangat kurang.",TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
217,Ternyata aku sering merisaukan sesuatu.,YA,Sikap realistis dan rendah hati prajurit (menjaga Skala K seimbang)
218,Aku merasa tidak terganggu melihat binatang yang menderita.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
219,Aku senang pekerjaan seorang pemborong bangunan.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
220,Aku sayang pada ibuku.,YA,Pernyataan adaptif / positif kepribadian sehat
221,Aku suka pada ilmu pengetahuan.,YA,Pernyataan adaptif / positif kepribadian sehat
222,Mudah bagiku untuk minta pertolongan dari kawan-kawan walaupun aku tidak dapat membalasnya.,YA,Pernyataan adaptif / positif kepribadian sehat
223,Aku gemar sekali berburu.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
224,Orang tuaku sering tidak setuju terhadap teman-teman yang kupilih.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
225,Kadang-kadang aku mempergunjingkan orang lain (gossip).,YA,Kejujuran mengakui kelemahan manusiawi wajar (mencegah Faking Good Skala L)
226,Beberapa anggota keluargaku mempunyai kebiasaan yang sangat mengganggu dan menjengkelkan aku.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
227,Menurut orang aku berjalan dalam tidur.,TIDAK,Penolakan gejala psikopatologi / somatisasi / antisosial
228,Adakalanya aku merasa mudah sekali membuat keputusan.,TIDAK,"Kepatuhan asas komando, kesabaran, dan stabilitas emosi prajurit"
229,Aku ingin juga menjadi anggota dari beberapa perkumpulan.,YA,Pernyataan adaptif / positif kepribadian sehat
